Ticker Symbol,Company Name,Last Price,7D Return,1Y Return,Market Cap,Analysts Target,Valuation,Growth,Div Yield,Industry
NEH.N0000,Nuwara Eliya Hotels,"LK₨2,168.50",0,0.446,LK₨4.7b,n/a,PE8.2x,n/a,1.70%,Consumer Services
BOGA.N0000,Bogala Graphite Lanka,LK₨49.00,-0.049,-0.164,LK₨4.6b,n/a,PE27.5x,n/a,0%,Materials
REXP.N0000,Richard Pieris Exports,LK₨415.00,-0.024,-0.303,LK₨4.6b,n/a,PE72.2x,n/a,2.90%,Materials
CALF.N0000,Dialog Finance,LK₨39.40,-0.015,-0.375,LK₨4.6b,n/a,PS6.6x,n/a,n/a,Diversified Financials
CHL.X0000,Ceylon Hospitals,LK₨92.00,0.007,-0.186,LK₨4.6b,n/a,PE8.9x,n/a,2.50%,Healthcare
COOP.N0000,Co-operative Insurance,LK₨2.70,0,-0.229,LK₨4.5b,n/a,PB0.7x,n/a,7.40%,Insurance
GOOD.N0000,Good Hope,"LK₨1,200.50",0,-0.23,LK₨4.7b,n/a,PE1420.2x,n/a,0%,Diversified Financials
PACK.N0000,Ex-pack Corrugated Cartons,LK₨13.20,-0.008,-0.114,LK₨4.4b,LK₨19.50,PE7.6x,S17.9%,5.10%,Materials
SELI.N0000,Selinsing,LK₨808.50,0,0.45,LK₨4.6b,n/a,PE333x,n/a,0%,Diversified Financials
PINS.N0000,People's Insurance,LK₨21.10,-0.032,-0.204,LK₨4.3b,n/a,PE10.2x,n/a,0%,Insurance
RCH.N0000,Renuka Hotels,LK₨106.00,0,0.17,LK₨4.3b,n/a,PE15.4x,n/a,0.50%,Consumer Services
